policy_id,clock,side,state,origin_lag,maturity_height,confirmation_height,entry_time,exit_time,fee_pressure,cadence_compression,fee_rank,cadence_rank
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,722201,722207,2022-02-07T18:35:00Z,2022-02-10T18:35:00Z,16.349823927843779,-0.088346596298566449,0.76003510378510375,0.094722985347985345
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,722704,722710,2022-02-11T05:25:00Z,2022-02-14T05:25:00Z,15.680068714034556,-0.087109983238984945,0.45371642246642246,0.098595848595848593
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,723196,723202,2022-02-14T06:10:00Z,2022-02-17T06:10:00Z,15.760609949873388,0.18966847945700802,0.48721764346764346,0.91521672771672768
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,723780,723786,2022-02-17T19:00:00Z,2022-02-20T19:00:00Z,15.450678593369156,0.17719472150215762,0.36507936507936506,0.90025946275946278
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,724209,724215,2022-02-20T21:20:00Z,2022-02-23T21:20:00Z,16.328965872144611,-0.089353077512009327,0.7512591575091575,0.096554487179487183
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,724735,724741,2022-02-24T14:55:00Z,2022-02-27T14:55:00Z,15.612459206747843,-0.09967940868585784,0.43036477411477414,0.081826159951159952
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,725175,725181,2022-02-27T23:20:00Z,2022-03-02T23:20:00Z,15.998133154501732,-0.10302278529423219,0.60485347985347981,0.085336538461538464
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,725663,725669,2022-03-03T04:50:00Z,2022-03-06T04:50:00Z,17.094032304701848,-0.10871986671424244,0.97622863247863245,0.076808608058608063
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,726149,726155,2022-03-06T19:05:00Z,2022-03-09T19:05:00Z,15.061162301528434,-0.10202997556137042,0.25026709401709402,0.091823107448107455
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,726579,726585,2022-03-09T19:40:00Z,2022-03-12T19:40:00Z,16.070769110169437,-0.10239111133729824,0.63606532356532353,0.091117216117216113
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,727051,727057,2022-03-13T00:45:00Z,2022-03-16T00:45:00Z,15.686415563297015,0.18936631292065984,0.46527777777777779,0.92279075091575091
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,727647,727653,2022-03-16T23:50:00Z,2022-03-19T23:50:00Z,15.019155308486445,0.17588233316505289,0.24313186813186813,0.9069177350427351
