document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_minutes,2017-07-26,2017-08-16,2017-08-16,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170726.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-09-20,2017-09-20,2017-09-20,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20170920a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-09-20,2017-10-11,2017-10-11,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170920.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-11-01,2017-11-01,2017-11-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20171101a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-11-01,2017-11-22,2017-11-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20171101.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2017-12-13,2017-12-13,2017-12-13,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20171213a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_minutes,2017-12-13,2018-01-03,2018-01-03,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20171213.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm
fomc_statement,2018-01-31,2018-01-31,2018-02-01,utf-8,false,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-01-31,2018-02-21,2018-02-21,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180131.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-03-21,2018-03-21,2018-03-21,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180321a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-03-21,2018-04-11,2018-04-11,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180321.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-05-02,2018-05-02,2018-05-02,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180502a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-05-02,2018-05-23,2018-05-23,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180502.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-06-13,2018-06-13,2018-06-13,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180613a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-06-13,2018-07-05,2018-07-05,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180613.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-08-01,2018-08-01,2018-08-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180801a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-08-01,2018-08-22,2018-08-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180801.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-09-26,2018-09-26,2018-09-26,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20180926a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-09-26,2018-10-17,2018-10-17,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180926.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-11-08,2018-11-08,2018-11-08,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181108a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-11-08,2018-11-29,2018-11-29,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20181108.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2018-12-19,2018-12-19,2018-12-19,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20181219a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_minutes,2018-12-19,2019-01-09,2019-01-09,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20181219.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc_statement,2019-01-30,2019-01-30,2019-01-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190130a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_minutes,2019-01-30,2019-02-20,2019-02-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190130.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc_statement,2019-03-20,2019-03-20,2019-03-20,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20190320a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
